item_id,name,star,cost,taste,environment,service,review_count,item_type,location,lng,lat
10536624,爱达乐(桃源店) 分店,4.0,0.0,8.4,8.4,8.3,89 条点评,面包甜点 , 高水 临园路中段133-1号峻峰大厦一楼,104.7237420774489,31.49555542709224
10536626,爱达乐(成绵店) 分店,4.0,0.0,8.5,8.4,8.3,120 条点评,面包甜点 , 涪城区 成绵路83号,104.7237420774489,31.49555542709224
10536629,好吃嘴韩式烧烤盘,3.0,0.0,7.7,7.2,7.2,1 条点评,烧烤 , 五里堆 五里堆南路5-14号,104.7237420774489,31.49555542709224
10536632,江油肥肠中餐馆,3.0,0.0,7.2,6.8,6.8,1 条点评,小吃面食 , 圣水 圣水南街33号,104.7237420774489,31.49555542709224
10536635,龙云杂酱面馆,3.0,0.0,7.4,7.4,7.4,1 条点评,小吃面食 , 沈家坝 李杜祠巷,104.7237420774489,31.49555542709224
10536650,飘香元一小火锅,3.0,0.0,7.0,7.0,7.0,1 条点评,火锅 , 开元场 开元路28-8号,104.7237420774489,31.49555542709224
10536658,江油肥肠馆,3.0,0.0,7.7,7.2,6.8,1 条点评,川菜 , 高水 高水南街61号,104.7237420774489,31.49555542709224
10536665,老幺秘方擀面皮直营,3.0,0.0,7.1,7.1,7.1,1 条点评,小吃面食 , 人民公园 临园路东段41-43号,104.7237420774489,31.49555542709224
10536668,王胖子特色面馆,3.0,0.0,7.5,7.0,7.0,2 条点评,小吃面食 , 铁牛广场 涪城路47号,104.7237420774489,31.49555542709224
10536675,牧羊人烤羊腿,3.0,0.0,7.3,7.0,7.0,5 条点评,烧烤 , 开元场 芙蓉溪路18-3号,104.7237420774489,31.49555542709224
10536681,和顺小酒馆,3.0,0.0,7.1,7.0,7.1,5 条点评,酒吧 , 步行街 顺河前街9-8号,104.7237420774489,31.49555542709224
10536684,上海海鲜馄饨,3.0,0.0,7.3,7.1,7.3,1 条点评,小吃面食 , 步行街 翠花街4-29号,104.7237420774489,31.49555542709224
10536690,三和大众冒菜,3.0,0.0,6.9,6.9,6.9,1 条点评,快餐简餐 , 开元场 开元路15-1号,104.7237420774489,31.49555542709224
10536695,申家老店串串,3.0,0.0,7.6,7.2,7.6,4 条点评,小吃面食 , 东方红大桥 成绵路1巷18-1号,104.7237420774489,31.49555542709224
10536696,阿里郎无烟烧烤,3.0,0.0,7.2,6.8,6.7,18 条点评,烧烤 , 开元场 绿水巷49对面,104.7237420774489,31.49555542709224
10536697,茶甜甜,3.0,0.0,7.1,6.9,7.1,3 条点评,面包甜点 , 步行街 新世界百货1楼,104.7237420774489,31.49555542709224
10536701,金诺瑞(涪城店) 分店,4.0,0.0,8.4,8.4,8.5,40 条点评,面包甜点 , 铁牛广场 涪城路99号,104.7237420774489,31.49555542709224
10536720,蜀香苑,3.0,0.0,6.4,6.4,6.4,2 条点评,川菜 , 西科大 青义路,104.7237420774489,31.49555542709224
10536724,馄饨大王,3.0,0.0,6.8,6.8,6.8,1 条点评,小吃面食 , 新世界百货 富乐路5-16号,104.7237420774489,31.49555542709224
